"eTable 7. Regressions of SCFA serum concentration with respect to sCAGs, ssCAGs, and fCAGs.",,,,,
,,,,,
Short chain fatty acid,SE category,CAG number,beta (95% CI),p-value,FDR strat
Isobutyric acid,Species,CAG 1,"-0.00065 (-0.0055,0.0042)",0.794,1
Isovaleric acid,Species,CAG 1,"-0.001219 (-0.00604,0.00361)",0.622,1
Propionic acid ,Species,CAG 1,"-0.001833 (-0.00666,0.00299)",0.46,1
Butyric acid,Species,CAG 1,"-0.000466 (-0.00529,0.00435)",0.85,1
Acetic acid,Species,CAG 1,"-0.001676 (-0.00646,0.00311)",0.496,1
Isobutyric acid,Species,CAG 2,"0.000262 (-0.00518,0.0057)",0.925,1
Isovaleric acid,Species,CAG 2,"-0.00047 (-0.00589,0.00495)",0.866,1
Propionic acid ,Species,CAG 2,"-0.000273 (-0.00571,0.00517)",0.922,1
Butyric acid,Species,CAG 2,"0.000923 (-0.00448,0.00633)",0.739,1
Acetic acid,Species,CAG 2,"-0.002893 (-0.00824,0.00245)",0.293,1
Isobutyric acid,Species,CAG 3,"0.00653 (0.00249,0.01057)",0.002,0.07
Isovaleric acid,Species,CAG 3,"0.00706 (0.0031,0.01102)",9.29E-04,0.03
Propionic acid ,Species,CAG 3,"0.007299 (0.00335,0.01125)",6.18E-04,0.02
Butyric acid,Species,CAG 3,"-0.000865 (-0.00521,0.00348)",0.698,1
Acetic acid,Species,CAG 3,"0.00866 (0.00494,0.01238)",2.67E-05,8.02E-04
Isobutyric acid,Species,CAG 4,"-0.004429 (-0.00993,0.00108)",0.12,1
Isovaleric acid,Species,CAG 4,"-0.003854 (-0.00937,0.00166)",0.176,1
Propionic acid ,Species,CAG 4,"-0.00364 (-0.00918,0.0019)",0.203,1
Butyric acid,Species,CAG 4,"-0.003478 (-0.00899,0.00204)",0.221,1
Acetic acid,Species,CAG 4,"-0.003142 (-0.00866,0.00237)",0.269,1
Isobutyric acid,Species,CAG 5,"-0.000856 (-0.00505,0.00334)",0.69,1
Isovaleric acid,Species,CAG 5,"-0.00129 (-0.00546,0.00288)",0.547,1
Propionic acid ,Species,CAG 5,"-0.002854 (-0.00699,0.00128)",0.181,1
Butyric acid,Species,CAG 5,"0.001375 (-0.00279,0.00553)",0.52,1
Acetic acid,Species,CAG 5,"-0.001818 (-0.00596,0.00232)",0.392,1
Isobutyric acid,Species,CAG 6,"-0.005398 (-0.01509,0.0043)",0.28,1
Isovaleric acid,Species,CAG 6,"-0.003674 (-0.01339,0.00604)",0.462,1
Propionic acid ,Species,CAG 6,"-0.00079 (-0.01058,0.009)",0.875,1
Butyric acid,Species,CAG 6,"0.008749 (-0.00072,0.01822)",0.075,1
Acetic acid,Species,CAG 6,"-0.004868 (-0.0145,0.00476)",0.326,1
Isobutyric acid,Sub-species,CAG 1,"0.002022 (-0.00252,0.00657)",0.387,1
Isovaleric acid,Sub-species,CAG 1,"0.001419 (-0.00313,0.00596)",0.543,1
Propionic acid ,Sub-species,CAG 1,"0.00154 (-0.00302,0.0061)",0.51,1
Butyric acid,Sub-species,CAG 1,"-0.001312 (-0.00585,0.00322)",0.573,1
Acetic acid,Sub-species,CAG 1,"0.001206 (-0.00332,0.00573)",0.603,1
Isobutyric acid,Sub-species,CAG 2,"0.00179 (-0.00388,0.00745)",0.538,1
Isovaleric acid,Sub-species,CAG 2,"0.000935 (-0.00473,0.0066)",0.747,1
Propionic acid ,Sub-species,CAG 2,"0.00174 (-0.00393,0.00741)",0.55,1
Butyric acid,Sub-species,CAG 2,"0.00225 (-0.00337,0.00787)",0.436,1
Acetic acid,Sub-species,CAG 2,"-0.001155 (-0.00678,0.00447)",0.689,1
Isobutyric acid,Sub-species,CAG 3,"-0.001302 (-0.00912,0.00652)",0.745,1
Isovaleric acid,Sub-species,CAG 3,"-0.001473 (-0.00927,0.00632)",0.712,1
Propionic acid ,Sub-species,CAG 3,"-0.002806 (-0.0106,0.00499)",0.483,1
Butyric acid,Sub-species,CAG 3,"-0.000089 (-0.00787,0.00769)",0.982,1
Acetic acid,Sub-species,CAG 3,"-0.002286 (-0.01002,0.00545)",0.565,1
Isobutyric acid,Sub-species,CAG 4,"-0.002535 (-0.01018,0.00511)",0.518,1
Isovaleric acid,Sub-species,CAG 4,"0.000445 (-0.00721,0.0081)",0.91,1
Propionic acid ,Sub-species,CAG 4,"0.002874 (-0.00477,0.01051)",0.464,1
