eTable 8. Spearman associations bewtween Species versus SCFAs metabolites,,,,
,,,,
Short chain fatty acid,Species,rho,p-value,FDR
Acetic acid,Acidaminococcus fermentans,0.198,0.0974,0.845
Butyric acid,Acidaminococcus fermentans,0.134,0.265,0.859
Isobutyric acid,Acidaminococcus fermentans,0.181,0.131,0.845
Isovaleric acid,Acidaminococcus fermentans,0.187,0.119,0.845
Propionic acid ,Acidaminococcus fermentans,0.181,0.131,0.845
Acetic acid,Acidaminococcus intestini,-0.0104,0.931,0.993
Butyric acid,Acidaminococcus intestini,-0.148,0.22,0.85
Isobutyric acid,Acidaminococcus intestini,0.032,0.791,0.973
Isovaleric acid,Acidaminococcus intestini,-0.054,0.654,0.947
Propionic acid ,Acidaminococcus intestini,-0.0521,0.666,0.948
Acetic acid,Acidaminococcus unclassified,-0.0447,0.712,0.96
Butyric acid,Acidaminococcus unclassified,-0.225,0.0587,0.845
Isobutyric acid,Acidaminococcus unclassified,-0.0335,0.782,0.971
Isovaleric acid,Acidaminococcus unclassified,-0.245,0.0391,0.845
Propionic acid ,Acidaminococcus unclassified,-0.234,0.0499,0.845
Acetic acid,Actinobacillus unclassified,0.0583,0.629,0.941
Butyric acid,Actinobacillus unclassified,-0.0117,0.923,0.992
Isobutyric acid,Actinobacillus unclassified,0.111,0.358,0.877
Isovaleric acid,Actinobacillus unclassified,0.07,0.562,0.925
Propionic acid ,Actinobacillus unclassified,0.14,0.244,0.856
Acetic acid,Adlercreutzia equolifaciens,0.0811,0.502,0.908
Butyric acid,Adlercreutzia equolifaciens,0.032,0.791,0.973
Isobutyric acid,Adlercreutzia equolifaciens,0.173,0.149,0.845
Isovaleric acid,Adlercreutzia equolifaciens,0.162,0.178,0.845
Propionic acid ,Adlercreutzia equolifaciens,0.0585,0.628,0.941
Acetic acid,Akkermansia muciniphila,-0.0803,0.506,0.908
Butyric acid,Akkermansia muciniphila,0.175,0.144,0.845
Isobutyric acid,Akkermansia muciniphila,-0.145,0.228,0.852
Isovaleric acid,Akkermansia muciniphila,-0.148,0.217,0.85
Propionic acid ,Akkermansia muciniphila,-0.144,0.23,0.852
Acetic acid,Alistipes finegoldii,0.203,0.0902,0.845
Butyric acid,Alistipes finegoldii,-0.00995,0.934,0.994
Isobutyric acid,Alistipes finegoldii,0.00858,0.943,0.995
Isovaleric acid,Alistipes finegoldii,0.101,0.404,0.891
Propionic acid ,Alistipes finegoldii,-0.0838,0.487,0.908
Acetic acid,Alistipes indistinctus,-0.081,0.502,0.908
Butyric acid,Alistipes indistinctus,0.00238,0.984,1
Isobutyric acid,Alistipes indistinctus,-0.102,0.397,0.888
Isovaleric acid,Alistipes indistinctus,-0.197,0.0991,0.845
Propionic acid ,Alistipes indistinctus,-0.191,0.11,0.845
